cell,stage,type,set,level,family,c,E,E_target,E_rel_dev,n_layers,reused_from,span,mean_depth,O_en,O_sl,O_cos,O_sl_band4,logE,en_harm_n,en_harm_strict,en_harm_broad,en_harm_partial,en_harm_complied,en_harm_invalid,en_harm_lid_ok,en_harm_rep4,en_ben_n,en_ben_strict,en_ben_broad,en_ben_partial,en_ben_complied,en_ben_invalid,en_ben_lid_ok,en_ben_rep4,en_screen_n,en_screen_strict,en_screen_broad,en_screen_partial,en_screen_complied,en_screen_invalid,en_screen_lid_ok,en_screen_rep4,en_harm_rule_refused,flores_en,kl_en,sl_harm_n,sl_harm_strict,sl_harm_broad,sl_harm_partial,sl_harm_complied,sl_harm_invalid,sl_harm_lid_ok,sl_harm_rep4,sl_ben_n,sl_ben_strict,sl_ben_broad,sl_ben_partial,sl_ben_complied,sl_ben_invalid,sl_ben_lid_ok,sl_ben_rep4,sl_screen_n,sl_screen_strict,sl_screen_broad,sl_screen_partial,sl_screen_complied,sl_screen_invalid,sl_screen_lid_ok,sl_screen_rep4,sl_harm_rule_refused,flores_sl,kl_sl,en_harm_strict_rg,sl_harm_strict_rg,band_frac_1_12,band_frac_13_24,band_frac_25_36,band_frac_37_48
C_B4_E2,,weight,B4,E2,dEN,0.9647730557573406,13.852890878915787,13.9,-0.0033891454017419553,12,,11,41.38380252209922,0.08662264893632576,0.006680996936707968,2.2149879374010926,0.02943238228493672,2.628493938572299,70,0.9428571428571428,0.9857142857142857,0.04285714285714286,0.014285714285714285,0.0,1.0,0.001924025686026679,0,,,,,,,,0,,,,,,,,0.6857142857142857,-0.003035163879394531,,70,0.9285714285714286,0.9571428571428572,0.02857142857142857,0.02857142857142857,0.014285714285714285,1.0,0.009692658269119227,0,,,,,,,,0,,,,,,,,0.9,0.008248028159141541,,0.9178571428571428,1.0,0.0,0.0,0.0,1.0
C_B4_E3,,weight,B4,E3,dEN,1.3661829543501045,27.784760296344757,27.8,-0.0005481907789656182,12,,11,41.38381365005336,0.08662198843383187,0.006680740763416618,2.2149879409282374,0.029432689481944527,3.324487679606125,70,0.8857142857142857,0.9571428571428571,0.07142857142857142,0.04285714285714286,0.0,1.0,0.004214583790387031,40,0.0,0.075,0.075,0.925,0.0,1.0,0.0016941391941391938,0,,,,,,,,0.5857142857142857,-0.0004570543766021729,0.00195323045598343,70,0.9428571428571428,0.9857142857142857,0.04285714285714286,0.014285714285714285,0.0,1.0,0.000627358320306751,40,0.05,0.05,0.0,0.95,0.0,1.0,0.0017918287832169367,0,,,,,,,,0.8714285714285714,0.012702050805091857,0.006023106884676963,0.8357142857142856,1.0,0.0,0.0,0.0,1.0
C_HYB_hi6lo6_E2,,weight,HYB_hi6lo6,E2,dEN,0.9625155127990745,13.850886583328247,13.9,-0.0035333393289030957,12,,29,32.531862041886725,0.21520507564040792,0.08931197772771211,2.5869388880977584,0.08663506337477629,2.628349243821284,70,0.6428571428571429,0.9,0.2571428571428571,0.1,0.0,1.0,0.006378341226929361,0,,,,,,,,0,,,,,,,,0.08571428571428572,-0.0024155020713806153,,70,0.7571428571428571,0.9142857142857143,0.15714285714285714,0.07142857142857142,0.014285714285714285,1.0,0.02608075417500637,0,,,,,,,,0,,,,,,,,0.4714285714285714,0.0037293434143066406,,0.48660714285714274,0.8361613351877608,0.0,0.3835736460296664,0.13143479818143539,0.4849915557888982
C_HYB_hi6lo6_E3,,weight,HYB_hi6lo6,E3,dEN,1.3628976181227883,27.779595375061035,27.8,-0.000733979314351263,12,,29,32.53088938342822,0.21522191136073962,0.0893180119555385,2.5869809068551084,0.08664035148906668,3.324301771887546,70,0.5714285714285714,0.8714285714285714,0.3,0.12857142857142856,0.0,1.0,0.005178991046117218,0,,,,,,,,0,,,,,,,,0.014285714285714285,-0.001894986629486084,0.009159152205102146,70,0.5,0.8714285714285714,0.37142857142857144,0.12857142857142856,0.0,1.0,0.014669317564573995,0,,,,,,,,0,,,,,,,,0.24285714285714285,0.004589313268661499,0.004143483291845769,0.38392857142857134,0.525730180806676,0.0,0.3836123507875326,0.1314371293408219,0.4849505198716455
C_HYB_hi6mid6_E2,,weight,HYB_hi6mid6,E2,dEN,0.8299047290196238,13.827162519097328,13.9,-0.005240106539760592,12,,26,12.729107978318023,0.1314293803485255,0.0728168895561191,2.302422326025508,0.06219147935693281,2.6266349560871225,70,0.8714285714285714,0.9571428571428572,0.08571428571428572,0.04285714285714286,0.0,1.0,0.0019182308593094141,0,,,,,,,,0,,,,,,,,0.44285714285714284,-0.002028721570968628,,70,0.8285714285714286,0.9285714285714286,0.1,0.05714285714285714,0.014285714285714285,1.0,0.017528660573787033,0,,,,,,,,0,,,,,,,,0.6285714285714286,0.0026350677013397216,,0.8151785714285714,0.9223922114047288,0.6165668257673912,0.2855715372884772,0.09786163694413165,0.0
C_HYB_hi6mid6_E3,,weight,HYB_hi6mid6,E3,dEN,1.1742690443577337,27.72495797276497,27.8,-0.0026993534976630373,12,,26,12.721700062228742,0.1312454950388526,0.07272009991676621,2.300676336863357,0.0621085426418694,3.3223330173746857,70,0.6285714285714286,0.9142857142857143,0.2857142857142857,0.08571428571428572,0.0,1.0,0.002684192640248896,0,,,,,,,,0,,,,,,,,0.2,-0.0015831440687179565,0.008011260819621384,70,0.6142857142857143,0.9285714285714286,0.3142857142857143,0.07142857142857142,0.0,1.0,0.01459268111539535,0,,,,,,,,0,,,,,,,,0.35714285714285715,0.002028605341911316,0.003424221562454477,0.4660714285714285,0.6636995827538249,0.6169444403367281,0.28530182801101084,0.09775373165226109,0.0
C_HYB_mid12_E2,,weight,HYB_mid12,E2,dEN,0.7439960494528193,13.88183844089508,13.9,-0.0013065869859654189,12,,16,7.140954557983993,0.0,0.006456824071687836,1.6824219258100928,0.02558126826779879,2.6305813988216533,70,0.9428571428571428,1.0,0.05714285714285714,0.0,0.0,1.0,0.0009420252139122422,0,,,,,,,,0,,,,,,,,0.8285714285714286,-0.0020690083503723143,,70,0.9571428571428572,0.9571428571428572,0.0,0.04285714285714286,0.0,1.0,0.005467876039304612,0,,,,,,,,0,,,,,,,,0.9428571428571428,0.0025000035762786864,,0.9178571428571428,1.0,0.7981184747515144,0.2018815252484856,0.0,0.0
C_HYB_mid12_E3,,weight,HYB_mid12,E3,dEN,1.0495866180587599,27.705764263868332,27.8,-0.0033897746809953277,12,,16,7.132809405568196,0.0,0.0064460531050327214,1.6800678931875912,0.025524014210443126,3.3216404877128203,70,0.9285714285714286,1.0,0.07142857142857142,0.0,0.0,1.0,0.0007147422090867193,0,,,,,,,,0,,,,,,,,0.8142857142857143,-0.001821473240852356,0.0038587020593695343,70,0.9428571428571428,0.9714285714285714,0.02857142857142857,0.02857142857142857,0.0,1.0,0.0030772351656630664,0,,,,,,,,0,,,,,,,,0.9285714285714286,0.0036177337169647217,0.002569408870767802,0.8973214285714286,1.0,0.7985122297208974,0.20148777027910264,0.0,0.0
C_STR4p0_E2,,weight,STR4p0,E2,dEN,0.8204643598713992,13.820496380329132,13.9,-0.005719684868407793,12,,44,17.395961028122148,0.14584128576842748,0.04640080544281407,1.9881362113797287,0.06686697920012645,2.6261527352291743,70,0.9142857142857143,0.9857142857142857,0.07142857142857142,0.014285714285714285,0.0,1.0,0.0022841492462390596,0,,,,,,,,0,,,,,,,,0.7142857142857143,-0.0036226242780685427,,70,0.9285714285714286,0.9714285714285714,0.04285714285714286,0.02857142857142857,0.0,1.0,0.0023544490714401552,0,,,,,,,,0,,,,,,,,0.8285714285714286,0.007646694779396057,,0.8767857142857141,1.0,0.39324567259836507,0.2574288688212845,0.17312418682421268,0.1762012717561377
C_STR4p0_E3,,weight,STR4p0,E3,dEN,1.16125564609747,27.734188318252563,27.8,-0.002367326681562476,12,,44,17.376037205975017,0.14554847750343541,0.04631046625276086,1.9853130790739488,0.06674112924361658,3.3226658874670014,70,0.8285714285714286,0.942857142857143,0.11428571428571428,0.05714285714285714,0.0,1.0,0.004253736543258706,0,,,,,,,,0,,,,,,,,0.45714285714285713,-0.0029113799333572387,0.006907944588456303,70,0.8142857142857143,0.9428571428571428,0.12857142857142856,0.04285714285714286,0.014285714285714285,1.0,0.018793854705466132,0,,,,,,,,0,,,,,,,,0.6142857142857143,0.007378989458084106,0.0037333411979489028,0.7535714285714288,0.9051460361613349,0.39400058372353186,0.25716645887208145,0.17288581306213918,0.1759471443422475
