artifact,cell,lang,harmful,judge,is_orig,n,keyword_rate,judged_rate,fp_share,fn_share,fp_share_partial,kappa,kappa_ci_low,kappa_ci_high,ac1
exp4,gams_edit,sl,True,gpt41,False,66,0.09090909090909091,0.0,1.0,,0.0,0.0,0.0,0.0,0.9004524886877828
exp4,gams_edit,sl,False,gpt41,False,22,0.09090909090909091,0.045454545454545456,1.0,1.0,0.0,-0.06451612903225784,-0.13793103448275917,0.0,0.8437869822485207
exp4,gams_edit,sl,True,qwen3_14b,False,330,0.1303030303030303,0.0,1.0,,0.0,0.0,0.0,0.0,0.8516225839001617
exp4,gams_edit,sl,False,qwen3_14b,False,150,0.06,0.0,1.0,,0.0,0.0,0.0,0.0,0.9362922064132512
exp4,gams_orig,en,True,gpt41,True,65,1.0,1.0,0.0,0.0,,,,,1.0
exp4,gams_orig,en,False,gpt41,True,26,0.3076923076923077,0.15384615384615385,0.5,0.0,0.25,0.5806451612903225,0.19587628865979395,0.865979381443299,0.761467889908257
exp4,gams_orig,en,True,qwen3_14b,True,330,0.9878787878787879,0.9787878787878788,0.015337423312883436,0.006191950464396285,0.2,0.3536653609401225,-0.01149425287355816,0.6983546617915901,0.9780690303378413
exp4,gams_orig,en,False,qwen3_14b,True,150,0.24,0.1,0.6111111111111112,0.06666666666666667,0.045454545454545456,0.47488584474885853,0.2986640190198305,0.6332518337408314,0.7863843224667967
exp4,gams_orig,sl,True,gpt41,True,68,0.9558823529411765,0.9558823529411765,0.015384615384615385,0.015384615384615385,0.0,0.6512820512820521,-0.022556390977442477,1.0,0.9678790741615494
exp4,gams_orig,sl,False,gpt41,True,31,0.22580645161290322,0.0967741935483871,0.7142857142857143,0.3333333333333333,0.0,0.3059701492537315,-0.09800537473872757,0.7374278391261638,0.7346647646219685
exp4,gams_orig,sl,True,qwen3_14b,True,330,0.9333333333333333,0.8878787878787879,0.05519480519480519,0.006825938566552901,0.0,0.6485819975339082,0.4960450289232658,0.7806094182825485,0.9312277545916716
exp4,gams_orig,sl,False,qwen3_14b,True,150,0.22,0.10666666666666667,0.5151515151515151,0.0,0.0,0.5948522402287896,0.4294303797468353,0.7527130024498684,0.8440414666218159
exp4,gemma_edit,en,True,gpt41,False,53,0.8113207547169812,0.1509433962264151,0.8372093023255814,0.125,0.8055555555555556,0.02679900744416875,-0.07841191066997515,0.10980442536726924,-0.39424102381798803
exp4,gemma_edit,en,False,gpt41,False,28,0.32142857142857145,0.07142857142857142,0.8888888888888888,0.5,0.25,0.07352941176470582,-0.1374999999999997,0.40963855421686757,0.5302889095992546
exp4,gemma_edit,en,True,qwen3_14b,False,329,0.851063829787234,0.2553191489361702,0.7607142857142857,0.20238095238095238,0.7089201877934272,-0.04062379668848659,-0.09674839943535524,0.008850025560705124,-0.3825297352602635
exp4,gemma_edit,en,False,qwen3_14b,False,150,0.19333333333333333,0.013333333333333334,1.0,1.0,0.1724137931034483,-0.02558447287163665,-0.059225512528473724,0.0,0.7463244319576663
exp4,gemma_edit,sl,True,gpt41,False,62,0.8870967741935484,0.7096774193548387,0.21818181818181817,0.022727272727272728,0.5833333333333334,0.3790446841294301,0.12403458657144838,0.6506338263093516,0.6907730673316708
exp4,gemma_edit,sl,False,gpt41,False,23,0.5217391304347826,0.2608695652173913,0.5,0.0,0.16666666666666666,0.48888888888888876,0.19472258303952508,0.809917355371901,0.5018050541516245
exp4,gemma_edit,sl,True,qwen3_14b,False,330,0.8939393939393939,0.7575757575757576,0.15254237288135594,0.0,0.4222222222222222,0.5409582689335396,0.4241532386908294,0.6478873239436622,0.8085414987912973
exp4,gemma_edit,sl,False,qwen3_14b,False,150,0.4533333333333333,0.19333333333333333,0.5735294117647058,0.0,0.15384615384615385,0.44842541957382615,0.32036823039304474,0.5789044026573584,0.5377138567308073
exp4,gemma_orig,en,True,gpt41,True,58,1.0,1.0,0.0,0.0,,,,,1.0
exp4,gemma_orig,en,False,gpt41,True,33,0.3939393939393939,0.18181818181818182,0.6923076923076923,0.3333333333333333,0.2222222222222222,0.22929936305732482,-0.062019115890083625,0.5194337477258943,0.4350194552529182
exp4,gemma_orig,en,True,qwen3_14b,True,330,0.9939393939393939,0.9666666666666667,0.027439024390243903,0.0,0.7777777777777778,0.30051813471502764,0.0,0.606486814779984,0.9716317476085181
exp4,gemma_orig,en,False,qwen3_14b,True,150,0.32666666666666666,0.08666666666666667,0.7346938775510204,0.0,0.16666666666666666,0.3271866434089212,0.19271902941455257,0.48012770839386565,0.6429043777278137
exp4,gemma_orig,sl,True,gpt41,True,59,0.9830508474576272,0.9322033898305084,0.05172413793103448,0.0,0.6666666666666666,0.3832752613240414,0.0,1.0,0.9446615601062999
exp4,gemma_orig,sl,False,gpt41,True,21,0.6190476190476191,0.38095238095238093,0.38461538461538464,0.0,0.4,0.5493562231759656,0.2631578947368422,0.8965517241379309,0.5238095238095237
exp4,gemma_orig,sl,True,qwen3_14b,True,330,0.9787878787878788,0.9484848484848485,0.030959752321981424,0.0,0.2,0.5704243686539971,0.32124504361617673,0.7924528301886795,0.9674132006161867
exp4,gemma_orig,sl,False,qwen3_14b,True,150,0.5933333333333334,0.32666666666666666,0.449438202247191,0.0,0.15,0.49908164969110047,0.3863308198299374,0.6116582147028419,0.47005829358770523
exp5,gams:edit,en,True,gpt41,False,126,0.0873015873015873,0.05555555555555555,1.0,1.0,0.0,-0.0728476821192046,-0.10837438423645425,-0.027972027972025998,0.8352941176470589
exp5,gams:edit,en,True,nemotron,False,42,0.07142857142857142,0.19047619047619047,0.6666666666666666,0.875,0.0,0.08695652173913052,-0.1454545454545453,0.41935483870967727,0.7225688073394495
exp5,gams:edit,en,False,nemotron,False,28,0.0,0.0,,,,,,,1.0
exp5,gams:edit,sl,True,gpt41,False,135,0.044444444444444446,0.06666666666666667,1.0,1.0,0.0,-0.05633802816901258,-0.08395883595447136,-0.02313653595772299,0.8758620689655172
exp5,gams:edit,sl,True,nemotron,False,41,0.024390243902439025,0.21951219512195122,0.0,0.8888888888888888,,0.16326530612244913,0.0,0.4913151364764267,0.7517032551097654
exp5,gams:edit,sl,False,nemotron,False,23,0.0,0.0,,,,,,,1.0
exp5,gams:orig,en,True,gpt41,True,141,0.9645390070921985,1.0,0.0,0.03546099290780142,,0.0,0.0,0.0,0.9632592438179117
exp5,gams:orig,en,True,nemotron,True,25,1.0,1.0,0.0,0.0,,,,,1.0
exp5,gams:orig,en,False,nemotron,True,30,0.03333333333333333,0.0,1.0,,1.0,0.0,0.0,0.0,0.9655370476737507
exp5,gams:orig,sl,True,gpt41,True,143,0.986013986013986,1.0,0.0,0.013986013986013986,,0.0,0.0,0.0,0.9858170096702207
exp5,gams:orig,sl,True,nemotron,True,26,1.0,1.0,0.0,0.0,,,,,1.0
exp5,gams:orig,sl,False,nemotron,True,24,0.0,0.0,,,,,,,1.0
exp5,gemma:edit,en,True,gpt41,False,118,0.3644067796610169,0.7033898305084746,0.3488372093023256,0.6626506024096386,0.13333333333333333,-0.06856403622250962,-0.20134808266198748,0.08077373702940167,-0.18101229625393184
exp5,gemma:edit,en,True,nemotron,False,53,0.3018867924528302,0.5849056603773585,0.5625,0.7741935483870968,0.0,-0.16677785190126757,-0.40446664811361116,0.06902451568661058,-0.22952548330404215
exp5,gemma:edit,en,False,nemotron,False,23,0.13043478260869565,0.0,1.0,,0.0,0.0,0.0,0.0,0.8514531754574811
exp5,gemma:edit,sl,True,gpt41,False,150,0.9266666666666666,0.9533333333333334,0.014388489208633094,0.04195804195804196,0.5,0.5286724273369992,0.20574886535552256,0.7857142857142859,0.9398857829876766
exp5,gemma:edit,sl,True,nemotron,False,31,0.8064516129032258,0.8064516129032258,0.04,0.04,0.0,0.7933333333333332,0.4311926605504584,1.0,0.9062027231467473
exp5,gemma:edit,sl,False,nemotron,False,27,0.14814814814814814,0.0,1.0,,0.0,0.0,0.0,0.0,0.8282988871224165
exp5,gemma:orig,en,True,gpt41,True,135,0.9037037037037037,0.9925925925925926,0.00819672131147541,0.09701492537313433,0.0,-0.013948497854076715,-0.038461538461538824,0.0,0.884987525101929
exp5,gemma:orig,en,True,nemotron,True,27,0.8888888888888888,0.9629629629629629,0.041666666666666664,0.11538461538461539,0.0,-0.05882352941176443,-0.14545454545454578,0.0,0.8282988871224165
exp5,gemma:orig,en,False,nemotron,True,22,0.45454545454545453,0.0,1.0,,0.0,0.0,0.0,0.0,0.29936305732484075
exp5,gemma:orig,sl,True,gpt41,True,124,0.9919354838709677,0.9919354838709677,0.0,0.0,,1.0,1.0,1.0,1.0
exp5,gemma:orig,sl,True,nemotron,True,31,0.967741935483871,0.967741935483871,0.0,0.0,,1.0,1.0,1.0,1.0
exp5,gemma:orig,sl,False,nemotron,True,21,0.23809523809523808,0.09523809523809523,0.6,0.0,0.3333333333333333,0.5039370078740159,0.0,1.0,0.8021978021978021
exp6,gams:E0_000,en,True,gpt41,False,14,0.5,0.5714285714285714,0.0,0.125,,0.8571428571428572,0.4615384615384618,1.0,0.8578680203045685
exp6,gams:E0_000,en,False,gpt41,False,13,0.15384615384615385,0.07692307692307693,0.5,0.0,0.0,0.6285714285714289,0.0,1.0,0.9033457249070632
