artifact,dataset,cell,lang,judge,is_orig,role,n,n_generated,coverage,random_subset,subset_note,p_refused,p_refused_wilson_lo,p_refused_wilson_hi,p_refused_cboot_lo,p_refused_cboot_hi,p_not_refused,p_not_refused_wilson_lo,p_not_refused_wilson_hi,p_not_refused_cboot_lo,p_not_refused_cboot_hi,p_partial,p_partial_wilson_lo,p_partial_wilson_hi,p_partial_cboot_lo,p_partial_cboot_hi,p_complied,p_complied_wilson_lo,p_complied_wilson_hi,p_complied_cboot_lo,p_complied_cboot_hi,p_invalid,p_invalid_wilson_lo,p_invalid_wilson_hi,p_invalid_cboot_lo,p_invalid_cboot_hi
exp8,hoc_harmful,gemma:Yc36_1_36,sl,keyword,False,harmful,70,70,1.0,True,,0.34285714285714286,0.2424598880226688,0.4596045030205579,0.24250000000000002,0.45714285714285713,0.6571428571428571,0.5403954969794421,0.7575401119773312,0.5428571428571428,0.7574999999999996,,,,,,,,,,,,,,,
exp8,hoc_harmful,gemma:Yc36_1_36,sl,qwen3_14b,False,harmful,70,70,1.0,True,,0.15714285714285714,0.09007620559861788,0.2598824657684222,0.08571428571428572,0.24285714285714285,,,,,,0.6857142857142857,0.5697286201420141,0.7823770995341724,0.5714285714285714,0.7857142857142857,0.15714285714285714,0.09007620559861788,0.2598824657684222,0.07142857142857142,0.24321428571428538,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,community:C0,en,gpt41,False,harmless,70,70,1.0,False,"ARM-PRIORITISED (5,298 of 12,136): NOT random; compare with Qwen only on overlap",0.0,0.0,0.05202306241026692,0.0,0.0,,,,,,0.0,0.0,0.05202306241026692,0.0,0.0,1.0,0.9479769375897331,1.0,1.0,1.0,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,community:C0,en,keyword,False,harmless,70,70,1.0,True,,0.014285714285714285,0.002526246457890312,0.07658187131208327,0.0,0.04285714285714286,0.9857142857142858,0.9234181286879168,0.9974737535421097,0.9571428571428572,1.0,,,,,,,,,,,,,,,
exp8,hoc_harmless,community:C0,en,qwen3_14b,False,harmless,70,70,1.0,True,,0.0,0.0,0.05202306241026692,0.0,0.0,,,,,,0.08571428571428572,0.039876669645112064,0.1746567249233948,0.02857142857142857,0.15714285714285714,0.9142857142857143,0.8253432750766051,0.9601233303548878,0.8428571428571429,0.9714285714285714,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,community:C0,sl,gpt41,False,harmless,70,70,1.0,False,"ARM-PRIORITISED (5,298 of 12,136): NOT random; compare with Qwen only on overlap",0.014285714285714285,0.002526246457890312,0.07658187131208327,0.0,0.04285714285714286,,,,,,0.0,0.0,0.05202306241026692,0.0,0.0,0.9857142857142858,0.9234181286879168,0.9974737535421097,0.9571428571428572,1.0,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,community:C0,sl,keyword,False,harmless,70,70,1.0,True,,0.014285714285714285,0.002526246457890312,0.07658187131208327,0.0,0.04285714285714286,0.9857142857142858,0.9234181286879168,0.9974737535421097,0.9571428571428572,1.0,,,,,,,,,,,,,,,
exp8,hoc_harmless,community:C0,sl,qwen3_14b,False,harmless,70,70,1.0,True,,0.014285714285714285,0.002526246457890312,0.07658187131208327,0.0,0.04285714285714286,,,,,,0.04285714285714286,0.014681541004111405,0.11859668748527552,0.0,0.1,0.9428571428571428,0.8620804952516177,0.9775562208992887,0.8857142857142857,0.9857142857142858,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,community:C1,en,gpt41,False,harmless,70,70,1.0,False,"ARM-PRIORITISED (5,298 of 12,136): NOT random; compare with Qwen only on overlap",0.0,0.0,0.05202306241026692,0.0,0.0,,,,,,0.0,0.0,0.05202306241026692,0.0,0.0,1.0,0.9479769375897331,1.0,1.0,1.0,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,community:C1,en,keyword,False,harmless,70,70,1.0,True,,0.0,0.0,0.05202306241026692,0.0,0.0,1.0,0.9479769375897331,1.0,1.0,1.0,,,,,,,,,,,,,,,
exp8,hoc_harmless,community:C1,en,qwen3_14b,False,harmless,70,70,1.0,True,,0.0,0.0,0.05202306241026692,0.0,0.0,,,,,,0.04285714285714286,0.014681541004111405,0.11859668748527552,0.0,0.1,0.9571428571428572,0.8814033125147246,0.9853184589958887,0.9,1.0,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,community:C1,sl,gpt41,False,harmless,70,70,1.0,False,"ARM-PRIORITISED (5,298 of 12,136): NOT random; compare with Qwen only on overlap",0.0,0.0,0.05202306241026692,0.0,0.0,,,,,,0.0,0.0,0.05202306241026692,0.0,0.0,1.0,0.9479769375897331,1.0,1.0,1.0,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,community:C1,sl,keyword,False,harmless,70,70,1.0,True,,0.014285714285714285,0.002526246457890312,0.07658187131208327,0.0,0.04285714285714286,0.9857142857142858,0.9234181286879168,0.9974737535421097,0.9571428571428572,1.0,,,,,,,,,,,,,,,
exp8,hoc_harmless,community:C1,sl,qwen3_14b,False,harmless,70,70,1.0,True,,0.0,0.0,0.05202306241026692,0.0,0.0,,,,,,0.02857142857142857,0.007870611945441225,0.09832256118423902,0.0,0.07142857142857142,0.9714285714285714,0.9016774388157609,0.9921293880545587,0.9285714285714286,1.0,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,gams3:G0,en,gpt41,True,harmless,40,70,0.5714285714285714,False,"ARM-PRIORITISED (5,298 of 12,136): NOT random; compare with Qwen only on overlap",0.025,0.0044268315026814095,0.1288136896347409,0.0,0.075,,,,,,0.025,0.0044268315026814095,0.1288136896347409,0.0,0.075,0.95,0.8349612263085903,0.9861793326138516,0.875,1.0,0.0,0.0,0.08762160119728664,0.0,0.0
exp8,hoc_harmless,gams3:G0,en,keyword,True,harmless,70,70,1.0,True,,0.07142857142857142,0.03089421703784702,0.1565541221709532,0.014285714285714285,0.12857142857142856,0.9285714285714286,0.8434458778290468,0.969105782962153,0.8714285714285714,0.9857142857142858,,,,,,,,,,,,,,,
exp8,hoc_harmless,gams3:G0,en,qwen3_14b,True,harmless,70,70,1.0,True,,0.04285714285714286,0.014681541004111405,0.11859668748527552,0.0,0.1,,,,,,0.08571428571428572,0.039876669645112064,0.1746567249233948,0.02857142857142857,0.15714285714285714,0.8714285714285714,0.7733524405057483,0.9308589988466248,0.8,0.9428571428571428,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,gams3:G0,sl,gpt41,True,harmless,27,70,0.38571428571428573,False,"ARM-PRIORITISED (5,298 of 12,136): NOT random; compare with Qwen only on overlap",0.037037037037037035,0.006568145980785103,0.18283465933575843,0.0,0.1111111111111111,,,,,,0.0,0.0,0.12455502974186705,0.0,0.0,0.9259259259259259,0.7663040731697686,0.9794453459390113,0.8148148148148148,1.0,0.037037037037037035,0.006568145980785103,0.18283465933575843,0.0,0.1111111111111111
exp8,hoc_harmless,gams3:G0,sl,keyword,True,harmless,70,70,1.0,True,,0.1,0.04928930144253951,0.192329148485674,0.04285714285714286,0.17142857142857143,0.9,0.807670851514326,0.9507106985574605,0.8285714285714286,0.9571428571428572,,,,,,,,,,,,,,,
exp8,hoc_harmless,gams3:G0,sl,qwen3_14b,True,harmless,70,70,1.0,True,,0.07142857142857142,0.03089421703784702,0.1565541221709532,0.014285714285714285,0.12857142857142856,,,,,,0.1,0.04928930144253951,0.192329148485674,0.04285714285714286,0.17142857142857143,0.8285714285714286,0.7238335196785457,0.8991227535947075,0.7428571428571429,0.9142857142857143,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,gams3:G1,en,gpt41,False,harmless,30,70,0.42857142857142855,False,"ARM-PRIORITISED (5,298 of 12,136): NOT random; compare with Qwen only on overlap",0.0,0.0,0.11351339317396876,0.0,0.0,,,,,,0.06666666666666667,0.018477023791270378,0.2132345836261692,0.0,0.16666666666666666,0.9333333333333333,0.7867654163738308,0.9815229762087295,0.8333333333333334,1.0,0.0,0.0,0.11351339317396876,0.0,0.0
exp8,hoc_harmless,gams3:G1,en,keyword,False,harmless,70,70,1.0,True,,0.02857142857142857,0.007870611945441225,0.09832256118423902,0.0,0.07142857142857142,0.9714285714285714,0.9016774388157609,0.9921293880545587,0.9285714285714286,1.0,,,,,,,,,,,,,,,
exp8,hoc_harmless,gams3:G1,en,qwen3_14b,False,harmless,70,70,1.0,True,,0.02857142857142857,0.007870611945441225,0.09832256118423902,0.0,0.07142857142857142,,,,,,0.08571428571428572,0.039876669645112064,0.1746567249233948,0.02857142857142857,0.15714285714285714,0.8857142857142857,0.7903577841784561,0.9409387105336235,0.8139285714285714,0.9428571428571428,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,gams3:G1,sl,gpt41,False,harmless,33,70,0.4714285714285714,False,"ARM-PRIORITISED (5,298 of 12,136): NOT random; compare with Qwen only on overlap",0.06060606060606061,0.016780883087191875,0.1960624480864781,0.0,0.15151515151515152,,,,,,0.0,0.0,0.10426999754245206,0.0,0.0,0.9393939393939394,0.8039375519135219,0.9832191169128082,0.8484848484848485,1.0,0.0,0.0,0.10426999754245206,0.0,0.0
exp8,hoc_harmless,gams3:G1,sl,keyword,False,harmless,70,70,1.0,True,,0.02857142857142857,0.007870611945441225,0.09832256118423902,0.0,0.07142857142857142,0.9714285714285714,0.9016774388157609,0.9921293880545587,0.9285714285714286,1.0,,,,,,,,,,,,,,,
exp8,hoc_harmless,gams3:G1,sl,qwen3_14b,False,harmless,70,70,1.0,True,,0.04285714285714286,0.014681541004111405,0.11859668748527552,0.0,0.1,,,,,,0.12857142857142856,0.06914100115337508,0.22664755949425175,0.05714285714285714,0.21428571428571427,0.8285714285714286,0.7238335196785457,0.8991227535947075,0.7285714285714285,0.9142857142857143,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,gemma:A0,en,gpt41,True,harmless,70,70,1.0,False,"ARM-PRIORITISED (5,298 of 12,136): NOT random; compare with Qwen only on overlap",0.02857142857142857,0.007870611945441225,0.09832256118423902,0.0,0.07142857142857142,,,,,,0.02857142857142857,0.007870611945441225,0.09832256118423902,0.0,0.07142857142857142,0.9428571428571428,0.8620804952516177,0.9775562208992887,0.8857142857142857,0.9857142857142858,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,gemma:A0,en,keyword,True,harmless,70,70,1.0,True,,0.24285714285714285,0.15751861122890576,0.3549503922963744,0.15714285714285714,0.34285714285714286,0.7571428571428571,0.6450496077036256,0.8424813887710942,0.6571428571428571,0.8428571428571429,,,,,,,,,,,,,,,
exp8,hoc_harmless,gemma:A0,en,qwen3_14b,True,harmless,70,70,1.0,True,,0.04285714285714286,0.014681541004111405,0.11859668748527552,0.0,0.1,,,,,,0.12857142857142856,0.06914100115337508,0.22664755949425175,0.05714285714285714,0.21428571428571427,0.8285714285714286,0.7238335196785457,0.8991227535947075,0.7425,0.9142857142857143,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,gemma:A0,sl,gpt41,True,harmless,70,70,1.0,False,"ARM-PRIORITISED (5,298 of 12,136): NOT random; compare with Qwen only on overlap",0.14285714285714285,0.07948941717066599,0.2433841988366675,0.05714285714285714,0.22857142857142856,,,,,,0.014285714285714285,0.002526246457890312,0.07658187131208327,0.0,0.04285714285714286,0.8428571428571429,0.7401175342315778,0.909923794401382,0.7571428571428571,0.9285714285714286,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,gemma:A0,sl,keyword,True,harmless,70,70,1.0,True,,0.2,0.12304739248362952,0.30816644496253065,0.11392857142857145,0.3,0.8,0.6918335550374695,0.8769526075163705,0.7,0.8860714285714282,,,,,,,,,,,,,,,
exp8,hoc_harmless,gemma:A0,sl,qwen3_14b,True,harmless,70,70,1.0,True,,0.15714285714285714,0.09007620559861788,0.2598824657684222,0.07142857142857142,0.24285714285714285,,,,,,0.07142857142857142,0.03089421703784702,0.1565541221709532,0.014285714285714285,0.14285714285714285,0.7714285714285715,0.6604966840601509,0.8541193677742756,0.6714285714285714,0.8714285714285714,0.0,0.0,0.05202306241026692,0.0,0.0
exp8,hoc_harmless,gemma:A1,en,gpt41,False,harmless,70,70,1.0,False,"ARM-PRIORITISED (5,298 of 12,136): NOT random; compare with Qwen only on overlap",0.0,0.0,0.05202306241026692,0.0,0.0,,,,,,0.0,0.0,0.05202306241026692,0.0,0.0,0.9857142857142858,0.9234181286879168,0.9974737535421097,0.9571428571428572,1.0,0.014285714285714285,0.002526246457890312,0.07658187131208327,0.0,0.04285714285714286
exp8,hoc_harmless,gemma:A1,en,keyword,False,harmless,70,70,1.0,True,,0.3142857142857143,0.21762290046582755,0.4302713798579859,0.21428571428571427,0.42857142857142855,0.6857142857142857,0.5697286201420141,0.7823770995341724,0.5714285714285714,0.7857142857142857,,,,,,,,,,,,,,,
