number,state,datetime_start,datetime_complete,duration_s,refusals,kl,p.direction_scope,p.direction_index,p.attn.o_proj.max_weight,p.attn.o_proj.max_weight_position,p.attn.o_proj.min_weight,p.attn.o_proj.min_weight_distance,p.mlp.down_proj.max_weight,p.mlp.down_proj.max_weight_position,p.mlp.down_proj.min_weight,p.mlp.down_proj.min_weight_distance,direction_index_eff,abl_params
52,COMPLETE,2026-09-23 16:57:58.082913,2026-09-23 16:58:36.682609,38.599696,99,0.00069664535112679,global,21.0882679696928,0.9993916880290334,39.83371638729182,0.29754617346961454,8.86790022261646,1.069815189119748,43.02715069627446,0.6067421633079724,13.357930683821355,21.0882679696928,"{""attn.o_proj"": {""max_weight"": 0.9993916880290334, ""max_weight_position"": 39.83371638729182, ""min_weight"": 0.2973651725703777, ""min_weight_distance"": 8.86790022261646}, ""mlp.down_proj"": {""max_weight"": 1.069815189119748, ""max_weight_position"": 43.02715069627446, ""min_weight"": 0.6491019821862435, ""min_weight_distance"": 13.357930683821355}}"
53,COMPLETE,2026-09-23 16:58:36.740857,2026-09-23 16:59:16.677477,39.93662,100,0.004750910215079784,global,19.376469531956555,1.1066104074661325,39.65487292814977,0.4641550699508056,14.375881850200637,0.38488689737004567,34.33851287705576,0.32122363530065223,26.15991619599247,19.376469531956555,"{""attn.o_proj"": {""max_weight"": 1.1066104074661325, ""max_weight_position"": 39.65487292814977, ""min_weight"": 0.5136388310857322, ""min_weight_distance"": 14.375881850200637}, ""mlp.down_proj"": {""max_weight"": 0.38488689737004567, ""max_weight_position"": 34.33851287705576, ""min_weight"": 0.12363476835279512, ""min_weight_distance"": 26.15991619599247}}"
54,COMPLETE,2026-09-23 16:59:16.723372,2026-09-23 16:59:56.086142,39.36277,99,0.0021081811282783747,global,41.75213960302098,0.8658403007871216,34.80381393405317,0.06958978432555363,25.6367267302216,0.5076479582671709,43.03233793037233,0.9999344804266129,19.786651245255584,41.75213960302098,"{""attn.o_proj"": {""max_weight"": 0.8658403007871216, ""max_weight_position"": 34.80381393405317, ""min_weight"": 0.060253639792148275, ""min_weight_distance"": 25.6367267302216}, ""mlp.down_proj"": {""max_weight"": 0.5076479582671709, ""max_weight_position"": 43.03233793037233, ""min_weight"": 0.5076146973895144, ""min_weight_distance"": 19.786651245255584}}"
55,COMPLETE,2026-09-23 16:59:56.140212,2026-09-23 17:00:34.974243,38.834031,98,0.0033853380009531975,per layer,29.546022982570697,1.2265553005430525,37.3087895676923,0.3847640933914611,14.399946856284853,1.3499833148979605,39.44023395533196,0.5516684673786048,1.4194550679695772,,"{""attn.o_proj"": {""max_weight"": 1.2265553005430525, ""max_weight_position"": 37.3087895676923, ""min_weight"": 0.47193443820793873, ""min_weight_distance"": 14.399946856284853}, ""mlp.down_proj"": {""max_weight"": 1.3499833148979605, ""max_weight_position"": 39.44023395533196, ""min_weight"": 0.7447432263164463, ""min_weight_distance"": 1.4194550679695772}}"
56,COMPLETE,2026-09-23 17:00:35.031521,2026-09-23 17:01:13.156485,38.124964,100,0.0012175625888630748,global,38.14275740584639,1.4688189561885374,45.921792152519146,0.30988888991363694,6.255437806117127,1.1651524774595807,41.36636763795114,0.35463413404787414,5.886798062346417,38.14275740584639,"{""attn.o_proj"": {""max_weight"": 1.4688189561885374, ""max_weight_position"": 45.921792152519146, ""min_weight"": 0.4551706758173728, ""min_weight_distance"": 6.255437806117127}, ""mlp.down_proj"": {""max_weight"": 1.1651524774595807, ""max_weight_position"": 41.36636763795114, ""min_weight"": 0.4132028398776136, ""min_weight_distance"": 5.886798062346417}}"
57,COMPLETE,2026-09-23 17:01:13.196014,2026-09-23 17:01:52.678710,39.482696,99,0.006257530301809311,per layer,30.586423263772943,1.3749544886389322,44.100777532485104,0.17231372804156564,21.543362271039832,0.19345080063046738,31.740337131841493,0.41679066507472884,13.88134967660555,,"{""attn.o_proj"": {""max_weight"": 1.3749544886389322, ""max_weight_position"": 44.100777532485104, ""min_weight"": 0.23692353382485892, ""min_weight_distance"": 21.543362271039832}, ""mlp.down_proj"": {""max_weight"": 0.19345080063046738, ""max_weight_position"": 31.740337131841493, ""min_weight"": 0.08062848785401128, ""min_weight_distance"": 13.88134967660555}}"
58,COMPLETE,2026-09-23 17:01:52.720171,2026-09-23 17:02:31.567752,38.847581,81,0.12051214277744293,per layer,40.152229809377644,0.9822008771775055,29.039957049912342,0.6786047308856499,4.809321506641856,1.3051969775316312,31.682130278182054,0.615137672033594,14.165996240019785,,"{""attn.o_proj"": {""max_weight"": 0.9822008771775055, ""max_weight_position"": 29.039957049912342, ""min_weight"": 0.6665261619326903, ""min_weight_distance"": 4.809321506641856}, ""mlp.down_proj"": {""max_weight"": 1.3051969775316312, ""max_weight_position"": 31.682130278182054, ""min_weight"": 0.8028758303040908, ""min_weight_distance"": 14.165996240019785}}"
59,COMPLETE,2026-09-23 17:02:31.615850,2026-09-23 17:03:10.973628,39.357778,96,0.006739324424415827,per layer,23.44505402202606,0.9140407262271384,37.234499068830424,0.19806400799400048,27.7249000183254,0.13853397475972695,33.614878898431776,0.7051025221187837,9.57752301962177,,"{""attn.o_proj"": {""max_weight"": 0.9140407262271384, ""max_weight_position"": 37.234499068830424, ""min_weight"": 0.18103856970629395, ""min_weight_distance"": 27.7249000183254}, ""mlp.down_proj"": {""max_weight"": 0.13853397475972695, ""max_weight_position"": 33.614878898431776, ""min_weight"": 0.0976806550022234, ""min_weight_distance"": 9.57752301962177}}"
60,COMPLETE,2026-09-23 17:56:18.320048,2026-09-23 17:56:57.541491,39.221443,80,0.027336833998560905,per layer,35.415687601328514,1.422819125358103,35.941604785695034,0.5741802634567652,24.196443074995685,-0.08712812520317086,40.99723130185444,0.9867023446871426,26.98285862518095,,"{""attn.o_proj"": {""max_weight"": 1.422819125358103, ""max_weight_position"": 35.941604785695034, ""min_weight"": 0.8169546602494399, ""min_weight_distance"": 24.196443074995685}, ""mlp.down_proj"": {""max_weight"": 0.0, ""max_weight_position"": 40.99723130185444, ""min_weight"": 0.0, ""min_weight_distance"": 26.98285862518095}}"
61,COMPLETE,2026-09-23 17:56:57.618456,2026-09-23 17:57:37.245860,39.627404,93,0.01252662856131792,per layer,35.2328021138878,1.2056534337710303,37.65754512549722,0.42461746191281036,23.033275014137413,0.06227674937229087,46.31410959429307,0.9904640847296078,27.832511612614102,,"{""attn.o_proj"": {""max_weight"": 1.2056534337710303, ""max_weight_position"": 37.65754512549722, ""min_weight"": 0.5119415009943195, ""min_weight_distance"": 23.033275014137413}, ""mlp.down_proj"": {""max_weight"": 0.06227674937229087, ""max_weight_position"": 46.31410959429307, ""min_weight"": 0.06168288356696126, ""min_weight_distance"": 27.832511612614102}}"
62,COMPLETE,2026-09-23 17:57:37.319414,2026-09-23 17:58:17.061567,39.742153,83,0.1378389447927475,per layer,37.81064287496484,1.4179779005239577,44.303277073532925,0.7724465539789092,19.267241479494817,1.2900859060209378,29.588073745573027,0.08888509295429053,18.842632272697937,,"{""attn.o_proj"": {""max_weight"": 1.4179779005239577, ""max_weight_position"": 44.303277073532925, ""min_weight"": 1.0953121428779795, ""min_weight_distance"": 19.267241479494817}, ""mlp.down_proj"": {""max_weight"": 1.2900859060209378, ""max_weight_position"": 29.588073745573027, ""min_weight"": 0.11466940567569117, ""min_weight_distance"": 18.842632272697937}}"
63,COMPLETE,2026-09-23 17:58:17.119567,2026-09-23 17:58:56.459439,39.339872,87,0.013333753682672977,per layer,29.06967053274347,1.1871930022953738,31.825260049518956,0.6999250855415722,16.622310096727425,0.40497195509525113,42.459317835940816,0.019621696036595165,15.570176216484004,,"{""attn.o_proj"": {""max_weight"": 1.1871930022953738, ""max_weight_position"": 31.825260049518956, ""min_weight"": 0.8309461636859454, ""min_weight_distance"": 16.622310096727425}, ""mlp.down_proj"": {""max_weight"": 0.40497195509525113, ""max_weight_position"": 42.459317835940816, ""min_weight"": 0.007946236606224684, ""min_weight_distance"": 15.570176216484004}}"
64,COMPLETE,2026-09-23 17:58:56.519271,2026-09-23 17:59:36.258875,39.739604,72,0.24867300689220428,per layer,21.518846175750486,1.2785537899958694,29.4523198684795,0.5718884236847983,15.834562010153956,1.2023673134686175,35.332006013507396,0.5205400263544885,19.56883801497514,,"{""attn.o_proj"": {""max_weight"": 1.2785537899958694, ""max_weight_position"": 29.4523198684795, ""min_weight"": 0.7311901115569625, ""min_weight_distance"": 15.834562010153956}, ""mlp.down_proj"": {""max_weight"": 1.2023673134686175, ""max_weight_position"": 35.332006013507396, ""min_weight"": 0.6258803130407297, ""min_weight_distance"": 19.56883801497514}}"
