layer,component,rel_frobenius_err,kernel_weight,g_bf16,g_nf4,g_rel_diff,proj_row_cos,proj_row_angle_deg
13,mlp.down_proj,0.09401571750640869,0.14840003354745013,0.016523709520697594,0.016566356644034386,0.002580965447460343,0.9954156875610352,5.488337197272425
14,attn.o_proj,0.09282141923904419,0.8861141587427785,0.4837283194065094,0.4830823242664337,-0.0013354503223384994,0.9959546327590942,5.155408963495495
14,mlp.down_proj,0.09407326579093933,0.1989043546377438,0.01509108580648899,0.01509315986186266,0.00013743579489667012,0.9956870675086975,5.3232905893826565
15,attn.o_proj,0.09296233206987381,0.9128677222680102,0.7453119158744812,0.7448755502700806,-0.0005854805150789024,0.996058464050293,5.088773586820668
15,mlp.down_proj,0.09438731521368027,0.2494086757280376,0.055157553404569626,0.05506908521056175,-0.0016039180229582887,0.9957045316696167,5.312494234142803
16,attn.o_proj,0.09280826896429062,0.9396212857932417,0.7104269862174988,0.708854615688324,-0.0022132753395905204,0.9961353540420532,5.038861864085393
16,mlp.down_proj,0.09593601524829865,0.2999129968183314,0.05095561593770981,0.05092043802142143,-0.0006903638714009217,0.9955363869667053,5.415550059335455
17,attn.o_proj,0.09295044094324112,0.9663748493184732,0.8141956329345703,0.8138238191604614,-0.00045666392580463044,0.9957217574119568,5.301823794369237
17,mlp.down_proj,0.09469065815210342,0.35041731790862507,0.03951101005077362,0.03955242037773132,0.0010480705733538144,0.995725691318512,5.299383941554415
18,attn.o_proj,0.09289251267910004,0.9931284128437047,0.4764900803565979,0.47750380635261536,0.0021274860439042067,0.9959782361984253,5.140336743944351
18,mlp.down_proj,0.0941205695271492,0.40092163899891886,0.1355346441268921,0.13548643887043,-0.0003556674145760532,0.9960551857948303,5.090890757909304
19,attn.o_proj,0.09297466278076172,1.0198819763689362,0.6576801538467407,0.6552677154541016,-0.0036681027677799307,0.996293842792511,4.934393391478821
19,mlp.down_proj,0.09428901225328445,0.45142596008921254,0.11534550040960312,0.1154019832611084,0.0004896840475328767,0.9960644245147705,5.084921932369728
20,attn.o_proj,0.0931900292634964,1.0466355398941678,0.4402243196964264,0.43994009494781494,-0.000645636181134764,0.9968781471252441,4.528526302782724
20,mlp.down_proj,0.09358543157577515,0.5019302811795062,0.11781425774097443,0.1176077127456665,-0.0017531409123845664,0.9963462948799133,4.8993300558546835
21,attn.o_proj,0.09277468174695969,1.0733891034193992,0.675208568572998,0.6735436320304871,-0.002465810743530259,0.9968428611755371,4.554060507480712
21,mlp.down_proj,0.09354831278324127,0.5524346022698,0.20791861414909363,0.2077617049217224,-0.0007546665699623211,0.9964487552642822,4.830104638224184
22,attn.o_proj,0.09264442324638367,1.1001426669446308,1.3096654415130615,1.3114970922470093,0.0013985638437795538,0.9967619776725769,4.6120585002624
22,mlp.down_proj,0.09392694383859634,0.6029389233600937,0.15098389983177185,0.15084898471832275,-0.0008935728484919305,0.9965779185295105,4.7414014657676375
23,attn.o_proj,0.09282033890485764,1.1268962304698622,0.4911116063594818,0.4901992976665497,-0.001857640261640123,0.9967439770698547,4.624867206579614
23,mlp.down_proj,0.09401147067546844,0.6534432444503875,0.43047162890434265,0.4311445355415344,0.001563184637520682,0.9966116547584534,4.7179589958262325
24,attn.o_proj,0.09288173168897629,1.1536497939950938,0.5132041573524475,0.5103487968444824,-0.005563790680682549,0.9970380067825317,4.410998564748345
24,mlp.down_proj,0.09409048408269882,0.7039475655406812,0.6218755841255188,0.6218140125274658,-9.900951190994332e-05,0.9964680075645447,4.816986426538454
25,attn.o_proj,0.09283287078142166,1.1804033575203252,0.6610531806945801,0.6610256433486938,-4.1656778441481064e-05,0.9964776039123535,4.810434299282648
25,mlp.down_proj,0.09474004060029984,0.7544518866309748,0.21262462437152863,0.21228766441345215,-0.0015847645072740572,0.9959929585456848,5.130913277112358
26,attn.o_proj,0.0927775502204895,1.2071569210455568,1.5796595811843872,1.586013913154602,0.004022595783232317,0.9967833757400513,4.596785926472698
26,mlp.down_proj,0.09424509853124619,0.8049562077212686,0.6074668765068054,0.6072038412094116,-0.0004330035226058158,0.9963298439979553,4.910354075928318
27,attn.o_proj,0.0928204208612442,1.2339104845707884,0.5402362942695618,0.5383952856063843,-0.003407784117256813,0.9967318773269653,4.633457175701188
27,mlp.down_proj,0.0943480059504509,0.8554605288115624,0.21633146703243256,0.21635887026786804,0.00012667244304027914,0.9958998560905457,5.190218975492788
28,attn.o_proj,0.09271679073572159,1.2606640480960198,0.5895650386810303,0.5875304341316223,-0.0034510264617450153,0.9952600002288818,5.580826050856287
28,mlp.down_proj,0.09411312639713287,0.9059648499018561,0.35627830028533936,0.3556976020336151,-0.0016299007019489212,0.9955984354019165,5.377749850706965
29,attn.o_proj,0.09214089810848236,1.2563618510774917,1.4420210123062134,1.4341822862625122,-0.005435930528616054,0.9958767294883728,5.204845989749611
29,mlp.down_proj,0.09362608194351196,0.9564691709921498,0.4510972201824188,0.45076799392700195,-0.0007298343698144152,0.9955693483352661,5.395502709640165
30,attn.o_proj,0.09274211525917053,1.2296082875522603,0.47986677289009094,0.47890669107437134,-0.002000725763814246,0.9957510232925415,5.283645858754922
30,mlp.down_proj,0.09331201761960983,1.0069734920824436,1.0055712461471558,1.004709243774414,-0.0008572265526132132,0.9955134391784668,5.429463498946637
31,attn.o_proj,0.09271417558193207,1.2028547240270286,0.9790487289428711,0.976774275302887,-0.002323126084275677,0.9959856271743774,5.135608090280085
31,mlp.down_proj,0.09330808371305466,1.0236906043994967,0.6191434860229492,0.6191102862358093,-5.362212134888227e-05,0.9956201910972595,5.364433293911966
32,attn.o_proj,0.09253011643886566,1.1761011605017972,1.5674951076507568,1.5693440437316895,0.0011795482307460996,0.9961037039756775,5.059466391920742
