cell_id,language,ladder,z,strength,REFUSED,PARTIAL,COMPLIED,INVALID,n,n_rpc,share_REFUSED,share_PARTIAL,share_COMPLIED,share_INVALID,partial_share_rpc,set_id
W_B4_c0.25,sl,L2,-1.0928886950888368,0.25,41,0,0,0,41,41,1.0,0.0,0.0,0.0,0.0,B4
W_B4_c0.5,en,L2,-0.5894231164524063,0.5,34,5,1,1,41,40,0.8292682926829268,0.12195121951219512,0.024390243902439025,0.024390243902439025,0.125,B4
W_B4_c0.5,sl,L2,-0.5894231164524063,0.5,41,0,0,0,41,41,1.0,0.0,0.0,0.0,0.0,B4
W_B4_c1,en,L2,0.4175080408204544,1.0,34,5,1,1,41,40,0.8292682926829268,0.12195121951219512,0.024390243902439025,0.024390243902439025,0.125,B4
W_B4_c1,sl,L2,0.4175080408204544,1.0,41,0,0,0,41,41,1.0,0.0,0.0,0.0,0.0,B4
W_B4_c1.5,en,L2,1.424439198093315,1.5,34,6,1,0,41,41,0.8292682926829268,0.14634146341463414,0.024390243902439025,0.0,0.14634146341463414,B4
W_B4_c1.5,sl,L2,1.424439198093315,1.5,41,0,0,0,41,41,1.0,0.0,0.0,0.0,0.0,B4
W_C24_c0.25,en,L2,-1.0928886950888368,0.25,27,13,1,0,41,41,0.6585365853658537,0.3170731707317073,0.024390243902439025,0.0,0.3170731707317073,C24
W_C24_c0.25,sl,L2,-1.0928886950888368,0.25,41,0,0,0,41,41,1.0,0.0,0.0,0.0,0.0,C24
W_C24_c0.5,en,L2,-0.5894231164524063,0.5,18,18,5,0,41,41,0.43902439024390244,0.43902439024390244,0.12195121951219512,0.0,0.43902439024390244,C24
W_C24_c0.5,sl,L2,-0.5894231164524063,0.5,36,1,4,0,41,41,0.8780487804878049,0.024390243902439025,0.0975609756097561,0.0,0.024390243902439025,C24
W_C24_c1,en,L2,0.4175080408204544,1.0,5,20,15,1,41,40,0.12195121951219512,0.4878048780487805,0.36585365853658536,0.024390243902439025,0.5,C24
W_C24_c1,sl,L2,0.4175080408204544,1.0,26,5,10,0,41,41,0.6341463414634146,0.12195121951219512,0.24390243902439024,0.0,0.12195121951219512,C24
W_C24_c1.5,en,L2,1.424439198093315,1.5,3,14,24,0,41,41,0.07317073170731707,0.34146341463414637,0.5853658536585366,0.0,0.34146341463414637,C24
W_C24_c1.5,sl,L2,1.424439198093315,1.5,7,6,28,0,41,41,0.17073170731707318,0.14634146341463414,0.6829268292682927,0.0,0.14634146341463414,C24
W_C36_c0.25,en,L2,-1.0928886950888368,0.25,22,15,4,0,41,41,0.5365853658536586,0.36585365853658536,0.0975609756097561,0.0,0.36585365853658536,C36
W_C36_c0.25,sl,L2,-1.0928886950888368,0.25,41,0,0,0,41,41,1.0,0.0,0.0,0.0,0.0,C36
W_C36_c0.5,en,L2,-0.5894231164524063,0.5,16,21,4,0,41,41,0.3902439024390244,0.5121951219512195,0.0975609756097561,0.0,0.5121951219512195,C36
