cell_id,source,n_rpc_en,n_rpc_sl,partial_share_rpc_en,partial_share_rpc_sl,z,obs_strict_minus_broad,fold,pred
GRID_B2_c1.0,exp10,41.0,41.0,0.1951219512195122,0.2682926829268293,0.04643151577415815,-0.07317073170731708,exp10,0.09102081580520482
GRID_B3_c1.0,exp10,41.0,41.0,0.0975609756097561,0.3902439024390244,-0.25429344959800293,-0.29268292682926833,exp10,0.10619628105070844
GRID_B4_c1.0,exp10,41.0,41.0,0.024390243902439025,0.024390243902439025,-0.16596772424212008,0.0,exp10,0.10218849083655923
GRID_C24_c1.0,exp10,41.0,41.0,0.1951219512195122,0.1951219512195122,1.0310845195180776,0.0,exp10,0.02445023974047672
GRID_C36_c1.0,exp10,41.0,41.0,0.21951219512195122,0.3170731707317073,1.3330294595885086,-0.0975609756097561,exp10,0.007538259026820038
GRID_HER88_c1.0,exp10,41.0,41.0,0.17073170731707318,0.4146341463414634,1.7163683239547929,-0.2439024390243902,exp10,-0.004826188818446708
GRID_STR2_c1.0,exp10,41.0,41.0,0.2682926829268293,0.34146341463414637,0.8432789450614452,-0.07317073170731708,exp10,0.037022930071871185
GRID_STR4_c1.0,exp10,41.0,41.0,0.12195121951219512,0.07317073170731707,0.18279542163565418,0.04878048780487805,exp10,0.08282068513229363
K96g_heretic_exact,exp9,41.0,41.0,0.5853658536585366,0.0,0.4827982112312622,0.5853658536585366,exp9,0.0065742394653500735
K96k_x0.5,exp9,40.0,41.0,0.625,0.024390243902439025,-0.5299323778971055,0.600609756097561,exp9,0.021246898180481755
K96k_x1,exp9,41.0,41.0,0.6829268292682927,0.0975609756097561,0.5491325866373697,0.5853658536585367,exp9,0.005785589570740601
NOOP,exp10,111.0,111.0,0.02702702702702703,0.009009009009009009,-3.3250485862390335,0.01801801801801802,exp10,0.07991890913799615
P_W_ALL48_c0.717_G4,exp9,41.0,41.0,0.07317073170731707,0.024390243902439025,0.5953058935740753,0.048780487804878044,exp9,0.0052587275553809265
P_W_B2_c1,exp9,41.0,41.0,0.0975609756097561,0.024390243902439025,0.060201820146076716,0.07317073170731708,exp9,0.012302668220899426
P_W_B3_c1,exp9,41.0,41.0,0.07317073170731707,0.04878048780487805,-0.04772396534060442,0.02439024390243902,exp9,0.013903530071807113
P_W_B3_c1.5,exp9,41.0,41.0,0.04878048780487805,0.024390243902439025,0.5953058935740756,0.024390243902439025,exp9,0.0052587275553809265
P_W_B4_c1.5,exp9,41.0,41.0,0.14634146341463414,0.0,0.5492718429599613,0.14634146341463414,exp9,0.005783972690164396
P_W_C36_c0.787_G3,exp9,41.0,41.0,0.04878048780487805,0.0,0.5492718429599609,0.04878048780487805,exp9,0.005783972690164396
P_W_S2_c0.726_G2,exp9,41.0,41.0,0.04878048780487805,0.0,0.060201820146076716,0.04878048780487805,exp9,0.012302668220899426
P_W_S4_c0.943_G1,exp9,41.0,41.0,0.07317073170731707,0.0,-0.04772396534060479,0.07317073170731707,exp9,0.013903530071807113
R_W_ALL48_c0.717_G4,exp9,41.0,41.0,0.07317073170731707,0.0,0.5953058935740756,0.07317073170731707,exp9,0.0052587275553809265
R_W_B2_c1,exp9,41.0,41.0,0.0975609756097561,0.0,0.060201820146076716,0.0975609756097561,exp9,0.012302668220899426
R_W_B3_c1,exp9,40.0,41.0,0.1,0.0,-0.04772396534060442,0.1,exp9,0.013903530071807113
R_W_B3_c1.5,exp9,41.0,41.0,0.07317073170731707,0.0,0.5953058935740756,0.07317073170731707,exp9,0.0052587275553809265
R_W_B4_c1.5,exp9,41.0,41.0,0.12195121951219512,0.0,0.5492718429599609,0.12195121951219512,exp9,0.005783972690164396
R_W_C36_c0.787_G3,exp9,41.0,41.0,0.0975609756097561,0.0,0.5492718429599609,0.0975609756097561,exp9,0.005783972690164396
R_W_S2_c0.726_G2,exp9,41.0,41.0,0.0975609756097561,0.0,0.060201820146076716,0.0975609756097561,exp9,0.012302668220899426
R_W_S4_c0.943_G1,exp9,40.0,41.0,0.075,0.0,-0.04772396534060442,0.075,exp9,0.013903530071807113
S5X_W_ALL48_c1.5,exp9,100.0,100.0,0.22,0.21,1.797142084020025,0.010000000000000009,exp9,-4.621592201592417e-05
S5X_W_K96_c1.5,exp9,100.0,100.0,0.2,0.21,1.538779505535446,-0.009999999999999981,exp9,-0.0004138215328940986
S5X_noop,exp9,100.0,100.0,0.05,0.0,-2.4209931323936007,0.05,exp9,0.03942531956566264
W_ALL48_c0.25,exp9,41.0,41.0,0.4146341463414634,0.0,-1.0024242959230927,0.4146341463414634,exp9,0.027992342852405816
W_ALL48_c0.5,exp9,40.0,41.0,0.5,0.024390243902439025,0.022562201188173446,0.47560975609756095,exp9,0.012856703220071819
W_ALL48_c0.717_G4,exp9,41.0,41.0,0.4878048780487805,0.0975609756097561,0.5953058935740756,0.3902439024390244,exp9,0.0052587275553809265
W_ALL48_c1,exp9,41.0,41.0,0.5609756097560976,0.1951219512195122,1.134042028177294,0.3658536585365854,exp9,0.0007171350322559555
W_ALL48_c1.5,exp9,41.0,41.0,0.34146341463414637,0.14634146341463414,1.797142084020025,0.19512195121951223,exp9,-4.621592201592417e-05
W_B1_c0.25,exp9,40.0,41.0,0.1,0.0,-1.7181356161107129,0.1,exp9,0.035714071969202954
W_B1_c0.5,exp9,41.0,41.0,0.0975609756097561,0.0,-0.8923295058553998,0.0975609756097561,exp9,0.026506950298315624
