trial,n,K,C,K_repaired,K_content_only,K_empty,C_trunc100,mean_tokens,share_truncated,J_n,J_ref,J_partial,J_complied,J_irrelevant,J_empty,J_malformed,J,n_judged,J_full,J_selection_point,J_posthoc_only,model,phase,sigma_K,K_oracle,sigma_K_repaired,sigma_K_oracle,gbf_i_C,K_journal,KL_journal,direction_scope,params_json,KL_replay,attn_cov0.10,attn_cov0.25,attn_cov0.50,attn_cov0.75,attn_mass,attn_energy,attn_centroid,attn_partic,attn_A1,attn_A2,mlp_cov0.10,mlp_cov0.25,mlp_cov0.50,mlp_cov0.75,mlp_mass,mlp_energy,mlp_centroid,mlp_partic,mlp_A1,mlp_A2,sum_cov0.10,sum_cov0.25,sum_cov0.50,sum_cov0.75,sum_mass,sum_energy,sum_centroid,sum_partic,sum_A1,sum_A2,mean_cos_in_support,run,in_paired_60,is_certification_trial,selected_by_K,selected_by_C,selected_by_J,K_replay_heretic
10,100,100,95,98,2,0,95,100.0,1.0,100.0,95.0,3.0,2.0,0.0,0.0,0.0,95.0,100.0,True,95.0,False,gemma,startup,0.0,90,1.4252739,2.9489222,0.0,100,0.0017228056676685,per layer,"{""attn.o_proj.max_weight"": 1.1535209660475816, ""attn.o_proj.max_weight_position"": 36.405084252854266, ""attn.o_proj.min_weight"": 0.5045441725825995, ""attn.o_proj.min_weight_distance"": 7.2465938310708236, ""direction_index"": 33.80360645824462, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 0.1420199015897604, ""mlp.down_proj.max_weight_position"": 44.30818832919783, ""mlp.down_proj.min_weight"": 0.599468715310531, ""mlp.down_proj.min_weight_distance"": 19.678844000856213}",0.002040417632088,14,14,14,10,12.284799915396674,5414559519.334561,36.47014185816702,13.560826512423912,12.284799915396672,5414559519.334561,18,0,0,0,2.68475828594996,233629630.84924316,36.97598808733779,22.496852517849327,2.68475828594996,233629630.84924316,18,14,14,13,14.969558201346633,7195388398.048111,36.56086429879728,15.581174791338562,14.969558201346633,7195388398.048111,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
11,100,100,93,99,1,0,93,100.0,1.0,100.0,94.0,4.0,2.0,0.0,0.0,0.0,94.0,100.0,True,94.0,False,gemma,startup,0.0,90,0.97659445,2.922141,0.0,100,0.0018426487222313,per layer,"{""attn.o_proj.max_weight"": 0.9302495731712805, ""attn.o_proj.max_weight_position"": 32.17963361875723, ""attn.o_proj.min_weight"": 0.43707090665945725, ""attn.o_proj.min_weight_distance"": 5.5636172733736355, ""direction_index"": 27.749509133815764, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 1.2888098647606268, ""mlp.down_proj.max_weight_position"": 39.28875554069061, ""mlp.down_proj.min_weight"": 0.2920482015124508, ""mlp.down_proj.min_weight_distance"": 2.5170793011560244}",0.0022819670848548,11,11,9,4,7.392146563895244,1275890443.281952,32.068617395835666,10.484785755934384,7.392146563895244,1275890443.281952,5,5,4,3,4.164440362108495,2507925861.231016,39.15080667764008,4.566287551450756,4.164440362108495,2507925861.231015,15,15,14,8,11.55658692600374,3978920382.8221874,34.620699172755,14.136810670294404,11.556586926003735,3978920382.8221865,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
12,100,83,19,75,8,0,19,100.0,1.0,100.0,22.0,55.0,23.0,0.0,0.0,0.0,22.0,100.0,True,22.0,False,gemma,startup,3.785984,27,4.2578073,4.4214516,0.1485148514851485,79,0.2390509992837906,per layer,"{""attn.o_proj.max_weight"": 0.8332876454127116, ""attn.o_proj.max_weight_position"": 39.76311779302705, ""attn.o_proj.min_weight"": 0.990646778214411, ""attn.o_proj.min_weight_distance"": 26.154464997110523, ""direction_index"": 32.39548365430694, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 0.8967944773623366, ""mlp.down_proj.max_weight_position"": 33.356490818881134, ""mlp.down_proj.min_weight"": 0.38644126852553917, ""mlp.down_proj.min_weight_distance"": 24.23166313152547}",0.2397099733352661,34,34,34,34,28.220110104818083,9592395655.508623,30.52546185257401,33.99973450543539,28.220110104818083,9592395655.508623,38,38,32,13,25.345752453645662,6991104032.856672,30.035828224502318,36.25938322985655,25.345752453645662,6991104032.856672,38,38,34,34,53.56586255846375,32844116191.215942,30.29378197032548,35.6133596883136,53.56586255846375,32844116191.215942,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
13,100,74,31,61,13,0,31,100.0,1.0,100.0,34.0,53.0,13.0,0.0,0.0,0.0,34.0,100.0,True,34.0,False,gemma,startup,4.366259,29,4.8566175,4.517665,0.06060606060606061,79,0.2013163119554519,per layer,"{""attn.o_proj.max_weight"": 0.9363783810360451, ""attn.o_proj.max_weight_position"": 41.56471237332608, ""attn.o_proj.min_weight"": 0.4562498346577709, ""attn.o_proj.min_weight_distance"": 21.938357853094445, ""direction_index"": 26.61376943579272, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 1.0268663580579784, ""mlp.down_proj.max_weight_position"": 29.973757281833382, ""mlp.down_proj.min_weight"": 0.20594758811356462, ""mlp.down_proj.min_weight_distance"": 26.445093082979383}",0.1988782286643982,28,28,25,14,20.16036033126549,9867013323.623753,35.11689982693147,26.79250459829948,20.160360331265487,9867013323.623753,44,43,35,18,29.648681766792134,6680723641.988294,27.72104111100261,39.817602138625794,29.648681766792134,6680723641.988293,44,43,35,28,49.80904209805763,32138292161.651127,30.714537279403537,36.03658500706677,49.80904209805762,32138292161.651127,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
14,100,100,93,98,2,0,93,100.0,1.0,100.0,92.0,5.0,3.0,0.0,0.0,0.0,92.0,100.0,True,92.0,False,gemma,startup,0.0,90,1.3890157,2.8951025,0.0,100,0.0071879029273986,global,"{""attn.o_proj.max_weight"": 0.835885835595857, ""attn.o_proj.max_weight_position"": 37.89984032276931, ""attn.o_proj.min_weight"": 0.8163433096299509, ""attn.o_proj.min_weight_distance"": 25.944772312759888, ""direction_index"": 39.943257682984225, ""direction_scope"": ""global"", ""mlp.down_proj.max_weight"": 1.3525950736771932, ""mlp.down_proj.max_weight_position"": 40.64798337499344, ""mlp.down_proj.min_weight"": 0.2406625355262717, ""mlp.down_proj.min_weight_distance"": 25.27903618893159}",0.010438809171319,36,36,36,24,27.758228110828124,8956281065.480335,30.038014923881523,35.876509400768605,12.765622477967778,5231363917.444559,32,32,28,22,29.482655700293137,19460022402.850204,34.373851214727694,28.843787679641785,17.411281129344125,12075346192.306906,36,36,36,32,57.24088381112127,54659787330.50672,32.27124334428228,33.30949198072297,30.176903607311907,33170284513.87591,0.442451579661091,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
15,100,93,71,82,11,0,71,100.0,1.0,100.0,72.0,21.0,7.0,0.0,0.0,0.0,72.0,100.0,True,72.0,False,gemma,startup,2.515544,63,3.7754705,4.789514,0.0,94,0.1058634743094444,per layer,"{""attn.o_proj.max_weight"": 0.8964048973096775, ""attn.o_proj.max_weight_position"": 31.05792147852202, ""attn.o_proj.min_weight"": 0.8520826582144962, ""attn.o_proj.min_weight_distance"": 2.3455480307323677, ""direction_index"": 29.424054714437975, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 1.0991098142655695, ""mlp.down_proj.max_weight_position"": 30.691762425024322, ""mlp.down_proj.min_weight"": 0.17895748144278678, ""mlp.down_proj.min_weight_distance"": 19.028140495524873}",0.1099543944001197,5,5,5,5,4.139570186926852,696482551.8197203,31.004745856721478,4.987550037998534,4.139570186926852,696482551.8197203,36,35,25,15,24.136531453787324,5498239776.512257,30.25734101476721,31.625662868446536,24.136531453787324,5498239776.512256,36,35,25,15,28.27610164071417,7937623655.318492,30.36675973311217,26.23733354280097,28.27610164071417,7937623655.318491,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
16,100,99,93,90,9,0,93,100.0,1.0,100.0,96.0,2.0,2.0,0.0,0.0,0.0,96.0,100.0,True,96.0,False,gemma,startup,0.98102,84,3.0069082,3.6233473,0.0,99,0.0197210535407066,per layer,"{""attn.o_proj.max_weight"": 1.0680706940417368, ""attn.o_proj.max_weight_position"": 41.50794319650778, ""attn.o_proj.min_weight"": 0.3200605367444218, ""attn.o_proj.min_weight_distance"": 13.682071495133789, ""direction_index"": 36.5128017103479, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 1.4729156469167977, ""mlp.down_proj.max_weight_position"": 34.638401305588324, ""mlp.down_proj.min_weight"": 0.8308376794396154, ""mlp.down_proj.min_weight_distance"": 6.4386081250546505}",0.0238266699016094,20,20,17,12,15.200938518191002,10511029405.892387,38.82222605278045,18.582853807688448,15.200938518191,10511029405.892387,13,13,13,13,17.508590502916466,9272136864.115145,34.966432849533255,12.96241186740508,17.508590502916462,9272136864.115145,20,20,19,19,32.70952902110747,31171395719.212517,36.75831665756966,17.446296146848592,32.709529021107464,31171395719.21251,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
17,100,74,29,63,11,0,29,100.0,1.0,100.0,32.0,58.0,10.0,0.0,0.0,0.0,32.0,100.0,True,32.0,False,gemma,startup,4.409784,28,4.8799114,4.569733,0.06060606060606061,76,0.1889256685972213,per layer,"{""attn.o_proj.max_weight"": 1.357875759158727, ""attn.o_proj.max_weight_position"": 40.34015137299733, ""attn.o_proj.min_weight"": 0.7852726966760378, ""attn.o_proj.min_weight_distance"": 17.95377962723959, ""direction_index"": 41.73418954369566, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 1.1033095976232539, ""mlp.down_proj.max_weight_position"": 29.7607390164875, ""mlp.down_proj.min_weight"": 0.2733348089322023, ""mlp.down_proj.min_weight_distance"": 20.952519265995765}",0.1941810548305511,25,25,25,25,30.94665210010669,22749127735.740715,35.41082922643518,24.88900302166441,30.94665210010669,22749127735.740715,39,39,32,18,28.36299009413971,6562674938.760307,28.900602966392025,35.718898757526674,28.36299009413971,6562674938.760307,39,39,34,27,59.30964219424639,52695208133.49875,32.29751617828928,31.56424880239308,59.30964219424639,52695208133.49874,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
18,100,99,87,97,2,0,87,100.0,1.0,100.0,87.0,9.0,4.0,0.0,0.0,0.0,87.0,100.0,True,87.0,False,gemma,startup,1.0044299,85,1.7030697,3.630626,0.0,99,0.0199506115168333,per layer,"{""attn.o_proj.max_weight"": 1.4600845769373272, ""attn.o_proj.max_weight_position"": 33.52774624456928, ""attn.o_proj.min_weight"": 0.17645082631373987, ""attn.o_proj.min_weight_distance"": 2.6756619473540098, ""direction_index"": 41.696778913113974, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 1.0094260421633905, ""mlp.down_proj.max_weight_position"": 37.549418241265904, ""mlp.down_proj.min_weight"": 0.030912815971094743, ""mlp.down_proj.min_weight_distance"": 21.724298238503227}",0.0217594280838966,6,6,4,4,4.715877297360818,1295658653.713071,33.52379690790359,4.9252887710812985,4.715877297360818,1295658653.713071,30,27,21,12,19.12648364482453,8181776684.658665,34.969894236524674,26.293241305919967,19.12648364482453,8181776684.658663,30,27,21,13,23.84236094218535,11736545008.557224,34.6838647791922,21.664206004275872,23.84236094218535,11736545008.557224,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
19,100,98,89,92,6,0,89,100.0,1.0,100.0,88.0,9.0,3.0,0.0,0.0,0.0,88.0,100.0,True,88.0,False,gemma,startup,1.4023519,80,2.7060688,3.9575465,0.0,98,0.0166861657053232,per layer,"{""attn.o_proj.max_weight"": 1.0561482615563043, ""attn.o_proj.max_weight_position"": 38.67596705702728, ""attn.o_proj.min_weight"": 0.3865526361074135, ""attn.o_proj.min_weight_distance"": 7.083439272377054, ""direction_index"": 39.2749781381899, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 0.4170801968458937, ""mlp.down_proj.max_weight_position"": 35.16049684344917, ""mlp.down_proj.min_weight"": 0.5087476340557078, ""mlp.down_proj.min_weight_distance"": 21.90193227494506}",0.020833171904087,14,14,12,7,10.304258883398958,5559252943.153551,38.57653651927352,13.179557094590251,10.304258883398957,5559252943.15355,34,30,0,0,11.275030585519572,1715648496.8460755,31.589296667361992,33.0911083835526,11.275030585519572,1715648496.8460755,34,30,14,14,21.579289468918528,12667695898.155457,34.92575167058166,23.6293939683352,21.579289468918528,12667695898.155457,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
